Type,Date,Latitude,Longitude,Gender,Age_range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Outcome,Removal of more than just outer clothing
Person search,2021-12-02T21:35:03+00:00,53.39599499999999,-3.0137560000000003,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T21:39:15+00:00,53.459817,-2.981387,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Arrest,False
Person search,2021-12-02T21:43:34+00:00,53.371534,-3.0149779999999997,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T21:50:17+00:00,53.400969999999994,-2.977671,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T22:50:36+00:00,53.404520999999995,-2.983077,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T22:53:33+00:00,53.395433999999995,-3.0330369999999998,Male,18-24,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T22:57:23+00:00,53.391433,-3.02061,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T22:59:25+00:00,53.426053,-2.84393,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-02T22:59:42+00:00,53.388954000000005,-3.057525,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T23:00:43+00:00,53.405388,-3.036798,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-02T23:14:28+00:00,53.441248,-2.927093,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-02T23:50:43+00:00,53.410915,-2.9947340000000002,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-03T00:01:28+00:00,53.410687,-2.988635,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-03T00:12:41+00:00,53.410915,-2.9947340000000002,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-03T00:19:39+00:00,53.410687,-2.988635,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-03T00:27:30+00:00,53.410915,-2.9947340000000002,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-03T01:01:41+00:00,53.417821999999994,-2.9602720000000002,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-03T01:07:02+00:00,53.420145999999995,-2.959602,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-03T01:15:25+00:00,53.41666800000001,-2.946043,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person and Vehicle search,2021-12-03T01:17:15+00:00,53.419723,-2.875509,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-03T02:04:32+00:00,53.383911,-2.874248,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-03T02:14:59+00:00,53.396018999999995,-3.038059,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Community resolution,False
Person search,2021-12-03T02:53:01+00:00,53.493225,-3.019375,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person search,2021-12-03T03:08:15+00:00,53.452881000000005,-2.7531,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-03T03:31:53+00:00,53.450704,-2.746134,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-03T04:26:13+00:00,53.404365000000006,-2.976861,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
Person search,2021-12-03T07:57:13+00:00,53.45155,-2.732973,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),A no further action disposal,False
Person and Vehicle search,2021-12-03T10:05:57+00:00,53.400743000000006,-2.941042,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),A no further action disposal,False
